eeone_effect,effect estimate of the statistical anlysis used to compare age group differences on the first emotional empathy measure
eeone_effecttype,effect type of the statistical anlysis used to compare age group differences on the first emotional empathy measure
eetwo_name,name of the second emotional empathy measure
eetwo_notes,important details related to the second emotional empathy measure
eetwo_modality,whether the second emotional empathy measure was a questionnaire or video task
eetwo_ymean,mean performance for the younger adult group on the second emotional empathy measure
eetwo_ysd,standard deviation for the younger adult group on the second emotional empathy measure
eetwo_omean,mean performance for the older adult group on the second emotional empathy measure
eetwo_osd,standard deviation for the older adult group on the second emotional empathy measure
eetwo_mmean,mean performance for the middle adult group on the second emotional empathy measure
eetwo_msd,standard deviation for the middle adult group on the second emotional empathy measure
eetwo_test,statistical analysis used to compare age group differences on the second emotional empathy measure
eetwo_p,p value of the statistical anlysis used to compare age group differences on the second emotional empathy measure
eetwo_value,value of the statistical anlysis used to compare age group differences on the second emotional empathy measure
eetwo_type,type of value examined by the statistical analysis used to compare age group differences on the second emotional empathy measure
eetwo_odds,odds ratio for the second emotional empathy measure
eetwo_95,95% confidence interval of the statistical anlysis used to compare age group differences on the second emotional empathy measure
eetwo_effect,effect estimate of the statistical anlysis used to compare age group differences on the second emotional empathy measure
eetwo_effecttype,effect type of the statistical anlysis used to compare age group differences on the second emotional empathy measure
eethree_name,name of the fourth emotional empathy measure
eethree_notes,important details related to the third emotional empathy measure
eethree_modality,whether the third emotional empathy measure was a questionnaire or video task
eethree_ymean,mean performance for the younger adult group on the third emotional empathy measure
eethree_ysd,standard deviation for the younger adult group on the third emotional empathy measure
eethree_omean,mean performance for the older adult group on the third emotional empathy measure
eethree_osd,standard deviation for the older adult group on the third emotional empathy measure
eethree_mmean,mean performance for the middle adult group on the third emotional empathy measure
eethree_msd,standard deviation for the middle adult group on the third emotional empathy measure
eethree_test,statistical analysis used to compare age group differences on the third emotional empathy measure
eethree_p,p value of the statistical anlysis used to compare age group differences on the third emotional empathy measure
eethree_value,value of the statistical anlysis used to compare age group differences on the third emotional empathy measure
eethree_type,type of value examined by the statistical analysis used to compare age group differences on the third emotional empathy measure
eethree_odds,odds ratio for the third emotional empathy measure
eethree_95,95% confidence interval of the statistical anlysis used to compare age group differences on the third emotional empathy measure
eethree_effect,effect estimate of the statistical anlysis used to compare age group differences on the third emotional empathy measure
eethree_effecttype,effect type of the statistical anlysis used to compare age group differences on the third emotional empathy measure
eefour_name,name of the fourth emotional empathy measure
eefour_notes,important details related to the fourth emotional empathy measure
eefour_modality,whether the fourth emotional empathy measure was a questionnaire or video task
eefour_ymean,mean performance for the younger adult group on the fourth emotional empathy measure
eefour_ysd,standard deviation for the younger adult group on the fourth emotional empathy measure
eefour_omean,mean performance for the older adult group on the fourth emotional empathy measure
eefour_osd,standard deviation for the older adult group on the fourth emotional empathy measure
eefour_mmean,mean performance for the middle adult group on the fourth emotional empathy measure
eefour_msd,standard deviation for the middle adult group on the fourth emotional empathy measure
eefour_test,statistical analysis used to compare age group differences on the fourth emotional empathy measure
eefour_p,p value of the statistical anlysis used to compare age group differences on the fourth emotional empathy measure
eefour_value,value of the statistical anlysis used to compare age group differences on the fourth emotional empathy measure
eefour_type,type of value examined by the statistical analysis used to compare age group differences on the fourth emotional empathy measure
eefour_odds,odds ratio for the fourth emotional empathy measure
eefour_95,95% confidence interval of the statistical anlysis used to compare age group differences on the fourth emotional empathy measure
eefour_effect,effect estimate of the statistical anlysis used to compare age group differences on the fourth emotional empathy measure
eefour_effecttype,effect type of the statistical anlysis used to compare age group differences on the fourth emotional empathy measure
